"enterprise", "enterprise_type"
"Field Crops", "Barley"
"Field Crops", "Bean (Dry)"
"Field Crops", "Bean (Green)"
"Field Crops", "Canola"
"Field Crops", "Cotton"
"Field Crops", "Cowpea"
"Field Crops", "Grain Sorghum"
"Field Crops", "Groundnut"
"Field Crops", "Lucerne"
"Field Crops", "Maize (Fodder)"
"Field Crops", "Maize (Green)"
"Field Crops", "Maize (Seed)"
"Field Crops", "Maize (White)"
"Field Crops", "Maize (Yellow)"
"Field Crops", "Oats""Potato"
"Field Crops", "Rye"
"Field Crops", "Soya Bean"
"Field Crops", "Sunflower"
"Field Crops", "Sweet Corn"
"Field Crops", "Tobacco"
"Field Crops", "Triticale"
"Field Crops", "Wheat"
"Horticulture", "Almond"
"Horticulture", "Apple"
"Horticulture", "Apricot"
"Horticulture", "Avocado"
"Horticulture", "Banana"
"Horticulture", "Cherry"
"Horticulture", "Chicory"
"Horticulture", "Chili"
"Horticulture", "Citrus (Hardpeel)"
"Horticulture", "Citrus (Softpeel)"
"Horticulture", "Coffee"
"Horticulture", "Fig"
"Horticulture", "Garlic"
"Horticulture", "Grapes (Table)"
"Horticulture", "Grapes (Wine)"
"Horticulture", "Guava"
"Horticulture", "Hops"
"Horticulture", "Kiwi"
"Horticulture", "Lemon"
"Horticulture", "Lentil"
"Horticulture", "Macadamia Nut"
"Horticulture", "Mango"
"Horticulture", "Melon"
"Horticulture", "Nectarine"
"Horticulture", "Olive"
"Horticulture", "Onion"
"Horticulture", "Orange"
"Horticulture", "Papaya"
"Horticulture", "Pea"
"Horticulture", "Peach"
"Horticulture", "Peanut"
"Horticulture", "Pear"
"Horticulture", "Pecan Nut"
"Horticulture", "Persimmon"
"Horticulture", "Pineapple"
"Horticulture", "Pistachio Nut"
"Horticulture", "Plum"
"Horticulture", "Pomegranate"
"Horticulture", "Prune"
"Horticulture", "Pumpkin"
"Horticulture", "Quince"
"Horticulture", "Rooibos"
"Horticulture", "Strawberry"
"Horticulture", "Sugarcane"
"Horticulture", "Tomato"
"Horticulture", "Watermelon"
"Livestock", "Cattle (Extensive)"
"Livestock", "Cattle (Feedlot)"
"Livestock", "Cattle (Stud)"
"Livestock", "Chicken (Broilers)"
"Livestock", "Chicken (Layers)"
"Livestock", "Dairy"
"Livestock", "Game"
"Livestock", "Goats"
"Livestock", "Horses"
"Livestock", "Ostrich"
"Livestock", "Pigs"
"Livestock", "Sheep (Extensive)"
"Livestock", "Sheep (Feedlot)"
"Livestock", "Sheep (Stud)"
