class,inherits,category
Farmland,Asset,Farmland
Cropland,Farmland,Cropland
Cropland,Farmland,Cropland (Irrigated)
PermanentCrop,Farmland,Permanent Crops
PermanentCrop,Farmland,Permanent Crops (Irrigated)
Pasture,Farmland,Natural Grazing
Pasture,Farmland,Swamp Pastures
Pasture,Farmland,Wildlife Conservation
PlantedPasture,Farmland,Planted Pastures
PlantedPasture,Farmland,Planted Pastures (Irrigated)
Plantation,Farmland,Plantation
Wasteland,Farmland,Homestead & Wasteland
Crop,Asset,Crop
FieldCrop,Crop,Barley
FieldCrop,Crop,Bean (Dry)
FieldCrop,Crop,Bean (Green)
FieldCrop,Crop,Canola
FieldCrop,Crop,Cotton
FieldCrop,Crop,Cowpea
FieldCrop,Crop,Grain Sorghum
FieldCrop,Crop,Groundnut
FieldCrop,Crop,Lucerne
FieldCrop,Crop,Maize (Fodder)
FieldCrop,Crop,Maize (Green)
FieldCrop,Crop,Maize (Seed)
FieldCrop,Crop,Maize (White)
FieldCrop,Crop,Maize (Yellow)
FieldCrop,Crop,Oats
FieldCrop,Crop,Potato
FieldCrop,Crop,Rye
FieldCrop,Crop,Soya Bean
FieldCrop,Crop,Sunflower
FieldCrop,Crop,Sweet Corn
FieldCrop,Crop,Tobacco
FieldCrop,Crop,Triticale
FieldCrop,Crop,Wheat
FruitCrop,Crop,Almond
FruitCrop,Crop,Apple
FruitCrop,Crop,Apricot
FruitCrop,Crop,Avocado
FruitCrop,Crop,Banana
FruitCrop,Crop,Blueberry
FruitCrop,Crop,Cherry
FruitCrop,Crop,Chicory
FruitCrop,Crop,Chili
FruitCrop,Crop,Citrus (Hardpeel)
FruitCrop,Crop,Citrus (Softpeel)
FruitCrop,Crop,Coffee
FruitCrop,Crop,Fig
FruitCrop,Crop,Garlic
FruitCrop,Crop,Grape (Table)
FruitCrop,Crop,Grape (Wine)
FruitCrop,Crop,Guava
FruitCrop,Crop,Hops
FruitCrop,Crop,Kiwi
FruitCrop,Crop,Lemon
FruitCrop,Crop,Lentil
FruitCrop,Crop,Macadamia Nut
FruitCrop,Crop,Mango
FruitCrop,Crop,Melon
FruitCrop,Crop,Nectarine
FruitCrop,Crop,Olive
FruitCrop,Crop,Onion
FruitCrop,Crop,Orange
FruitCrop,Crop,Papaya
FruitCrop,Crop,Pea
FruitCrop,Crop,Peach
FruitCrop,Crop,Peanut
FruitCrop,Crop,Pear
FruitCrop,Crop,Pecan Nut
FruitCrop,Crop,Persimmon
FruitCrop,Crop,Pineapple
FruitCrop,Crop,Pistachio Nut
FruitCrop,Crop,Plum
FruitCrop,Crop,Pomegranate
FruitCrop,Crop,Prune
FruitCrop,Crop,Pumpkin
FruitCrop,Crop,Quince
FruitCrop,Crop,Rooibos
FruitCrop,Crop,Strawberry
FruitCrop,Crop,Sugarcane
FruitCrop,Crop,Tomato
FruitCrop,Crop,Watermelon
PastureCrop,Crop,Birdsfoot Trefoil
PastureCrop,Crop,Carribean Stylo
PastureCrop,Crop,Clover
PastureCrop,Crop,Clover (Arrow Leaf)
PastureCrop,Crop,Clover (Crimson)
PastureCrop,Crop,Clover (Persian)
PastureCrop,Crop,Clover (Red)
PastureCrop,Crop,Clover (Rose)
PastureCrop,Crop,Clover (Strawberry)
PastureCrop,Crop,Clover (Subterranean)
PastureCrop,Crop,Clover (White)
PastureCrop,Crop,Kikuyu
PastureCrop,Crop,Lucerne
PastureCrop,Crop,Lupin
PastureCrop,Crop,Lupin (Narrow Leaf)
PastureCrop,Crop,Lupin (White)
PastureCrop,Crop,Lupin (Yellow)
PastureCrop,Crop,Medic
PastureCrop,Crop,Medic (Barrel)
PastureCrop,Crop,Medic (Burr)
PastureCrop,Crop,Medic (Gama)
PastureCrop,Crop,Medic (Snail)
PastureCrop,Crop,Medic (Strand)
PastureCrop,Crop,Ryegrass
PastureCrop,Crop,Ryegrass (Hybrid)
PastureCrop,Crop,Ryegrass (Italian)
PastureCrop,Crop,Ryegrass (Westerwolds)
PastureCrop,Crop,Serradella
PastureCrop,Crop,Serradella (Yellow)
PastureCrop,Crop,Silver Leaf Desmodium
PlantationCrop,Crop,Sugarcane
PlantationCrop,Crop,Bluegum
PlantationCrop,Crop,Pine
PlantationCrop,Crop,Wattle
WaterRight,Asset,Water Right (Irrigation Scheme)
WaterRight,Asset,Water Right (River)
WaterRight,Asset,Water Right (Dam)
WaterRight,Asset,Water Right (Borehole)
LandImprovement,Asset,Land Improvement
Transport,LandImprovement,Airport Hangar
Transport,LandImprovement,Helipad
Transport,LandImprovement,Airport Runway
Aquaculture,LandImprovement,Aquaculture (Pond)
Aquaculture,LandImprovement,Aquaculture (Net House)
Aviary,LandImprovement,Aviary
Aviary,LandImprovement,Beekeeping
Borehole,LandImprovement,Borehole
Borehole,LandImprovement,Borehole (Equipped)
Borehole,LandImprovement,Borehole (Pump)
Borehole,LandImprovement,Borehole (Windmill)
Poultry,LandImprovement,Hatchery
Poultry,LandImprovement,Broiler House
Poultry,LandImprovement,Broiler House (Atmosphere)
Poultry,LandImprovement,Broiler House (Semi)
Poultry,LandImprovement,Broiler House (Zinc)
Building,LandImprovement,Administrative Building
Building,LandImprovement,Building
Building,LandImprovement,Commercial Building
Building,LandImprovement,Entrance
Building,LandImprovement,Lean-to
Building,LandImprovement,Outbuilding
Building,LandImprovement,Gate
ColdStorage,LandImprovement,Cold Storage
Commercial,LandImprovement,Coffee Shop
Commercial,LandImprovement,Sales Facility
Commercial,LandImprovement,Shop
Commercial,LandImprovement,Bar
Commercial,LandImprovement,Café
Commercial,LandImprovement,Restaurant
Commercial,LandImprovement,Factory
Commercial,LandImprovement,Tasting Facility
Commercial,LandImprovement,Cloth House
Nursery,LandImprovement,Compost Preparing Unit
FruitProcessing,LandImprovement,Degreening Room
