'asset_type','land_use'
'crop','Cropland'
'farmland',''
'improvement',''
'cropland','Cropland'
'cropland','Irrigated Cropland'
'livestock','Grazing',
'livestock','Planted Pastures'
'livestock','Conservation'
'pasture','Grazing'
'pasture','Planted Pastures'
'pasture','Conservation'
'permanent crop','Horticulture (Perennial)'
'plantation','Plantation'
'vme',''
'wasteland','Grazing'
'wasteland','Structures (Handling)'
'wasteland','Structures (Processing)'
'wasteland','Structures (Storage)'
'wasteland','Utilities'
'wasteland','Wasteland'
'water right','Water Right'
