'commodity_type','commodity','proposed_commodity_type','proposed_commodity',
'crop','Barley','crop','Barley',
,,'crop','Bean',
,,'crop','Broad Bean',
'crop','Bean (Dry)','crop','Dry Bean',
'crop','Bean (Green)','crop','Sugar Bean',
,,'crop','Green Bean',
,,'crop','Kidney Bean',
'crop','Canola','crop','Canola',
,,'crop','Cassava',
'crop','Cotton','crop','Cotton',
'crop','Cowpea','crop','Cowpea',
'crop','Grain Sorghum','crop','Grain Sorghum',
'crop','Groundnut','crop','Groundnut',
'crop','Lucerne','crop','Lucerne',
'crop','Lupin','crop','Lupin',
'crop','Maize (Fodder)','crop','Maize',
'crop','Maize (Green)','crop','Maize',
'crop','Maize (Seed)','crop','Maize',
'crop','Maize (White)','crop','Maize',
'crop','Maize (Yellow)','crop','Maize',
'crop','Oat','crop','Oats',
,,'crop','Pearl Millet',
'crop','Potato','crop','Potato',
,,'crop','Rapeseed',
,,'crop','Rice',
'crop','Rye','crop','Rye',
'crop','Soya Bean','crop','Soya Bean',
'crop','Sunflower','crop','Sunflower',
'crop','Sweet Corn','crop','Sweet Corn',
,,'crop','Sweet Potato',
'crop','Tobacco','crop','Tobacco',
'crop','Triticale','crop','Triticale',
'crop','Wheat','crop','Wheat',
'horticulture','Almond','fruit_nuts','Almond',
,,'plantation','Aloe',
'horticulture','Apple','fruit_nuts','Apple',
'horticulture','Apricot','fruit_nuts','Apricot',
'horticulture','Avocado','fruit_nuts','Avocado',
'horticulture','Banana','fruit_nuts','Banana',
,,'fruit_nuts','Barberry',
,,'fruit_nuts','Berry',
,,'fruit_nuts','Bilberry',
,,'fruit_nuts','Blackberry',
'horticulture','Blueberry','fruit_nuts','Blueberry',
'horticulture','Cherry','fruit_nuts','Cherry',
,,'fruit_nuts','Cloudberry',
'horticulture','Chicory','vegetables','Chicory',
'horticulture','Chili','fruit_nuts','Chili',
,,'fruit_nuts','Coconut',
'horticulture','Citrus (Hardpeel)','fruit_nuts','Orange',
'horticulture','Orange','fruit_nuts','Orange',
'horticulture','Citrus (Softpeel)','fruit_nuts','Mandarin',
'horticulture','Coffee','fruit_nuts','Coffee',
'horticulture','Fig','fruit_nuts','Fig',
'horticulture','Garlic','vegetables','Garlic',
,,'fruit_nuts','Gooseberry',
'horticulture','Grape (Table)','fruit_nuts','Grape',
'horticulture','Grape (Wine)','fruit_nuts','Grape',
,,'fruit_nuts','Grapefruit',
'horticulture','Guava','fruit_nuts','Guava',
'horticulture','Hops','fruit_nuts','Hops',
'horticulture','Kiwi','fruit_nuts','Kiwi',
'horticulture','Lemon','fruit_nuts','Lemon',
'horticulture','Lentil','vegetables','Lentil','Litchi'
'horticulture','Macadamia Nut','fruit_nuts','Macadamia Nut',
,,'fruit_nuts','Mandarin',
'horticulture','Mango','fruit_nuts','Mango',
'horticulture','Melon','fruit_nuts','Melon','Mulberry'
'horticulture','Nectarine','fruit_nuts','Nectarine',
'horticulture','Olive','fruit_nuts','Olive',
'horticulture','Onion','vegetables','Onion',
'horticulture','Papaya','fruit_nuts','Papaya',
'horticulture','Pea','vegetables','Pea',
'horticulture','Peach','fruit_nuts','Peach',
'horticulture','Peanut','crop','Peanut',
'horticulture','Pear','fruit_nuts','Pear',
,,'fruit_nuts','Pomegranate',
,,'fruit_nuts','Prickly Pear',
'horticulture','Pecan Nut','fruit_nuts','Pecan Nut',
'horticulture','Persimmon','fruit_nuts','Persimmon',
'horticulture','Pineapple','fruit_nuts','Pineapple',
'horticulture','Pistachio Nut','fruit_nuts','Pistachio Nut',
'horticulture','Plum','fruit_nuts','Plum',
'horticulture','Pomegranate','fruit_nuts','Pomegranate',
'horticulture','Prickly Pear','fruit_nuts','Prickly Pear',
'horticulture','Prune','fruit_nuts','Prune',
'horticulture','Pumpkin','vegetables','Pumpkin',
'horticulture','Quince','fruit_nuts','Quince',
,,'fruit_nuts','Raspberry',
'horticulture','Rooibos','fruit_nuts','Rooibos',
'horticulture','Strawberry','fruit_nuts','Strawberry',
'horticulture','Sugarcane','fruit_nuts','Sugarcane',
'horticulture','Tomato','vegetables','Tomato',
'horticulture','Watermelon','fruit_nuts','Watermelon',
,,'fruit_nuts','Walnut',
,,'fruit_nuts','Wineberry',
,,'horticulture','Protea',
,,'plantation','Hops',
,,'plantation','Sisal',
,,'plantation','Tea',
,,'plantation','Pineapple',
,,'plantation','Eucalyptus',
,,'plantation','Pine',
,,'plantation','Wattle',
'livestock','Cattle (Extensive)','livestock','Cattle',
'livestock','Cattle (Feedlot)','livestock','Cattle',
'livestock','Cattle (Stud)','livestock','Cattle',
'livestock','Chicken (Broilers)','livestock','Cattle',
'livestock','Chicken (Layers)','livestock','Cattle',
'livestock','Dairy','livestock','Dairy',
'livestock','Game','livestock','Game',
'livestock','Goats','livestock','Goats',
'livestock','Horses','livestock','Horses',
'livestock','Ostrich','livestock','Ostrich',
'livestock','Pigs','livestock','Pigs',
'livestock','Sheep (Extensive)','livestock','Sheep',
'livestock','Sheep (Feedlot)','livestock','Sheep',
'livestock','Sheep (Stud)','livestock','Sheep',
,,'livestock','Rabbits',
,,'vegetables','Carrots',
,,'vegetables','Beet',
,,'vegetables','Cauliflower',
,,'vegetables','Watermelon',
,,'vegetables','Broccoli',
,,'vegetables','Leeks',
,,'vegetables','Butternut',
,,'vegetables','Cabbage',
,,'pastures','Bahia Grass',
,,'pastures','Birdsfoot Trefoil',
,,'pastures','Bottle Brush',
,,'pastures','Buffalo Grass',
,,'pastures','Bush',
,,'pastures','Carribean Stylo',
,,'pastures','Clover',
,,'pastures','Cocksfoot',
,,'pastures','Common Setaria',
,,'pastures','Dallis',
,,'pastures','Kikuyu',
,,'pastures','Lucerne',
,,'pastures','Lupin',
,,'pastures','Medic',
,,'pastures','Multispecies Pasture',
,,'pastures','Phalaris',
,,'pastures','Rescue',
,,'pastures','Rhodes',
,,'pastures','Russian Grass',
,,'pastures','Ryegrass',
,,'pastures','Serradella',
,,'pastures','Silverleaf Desmodium',
,,'pastures','Smuts Finger',
,,'pastures','Soutbos',
,,'pastures','Tall Fescue',
,,'pastures','Teff',
,,'pastures','Veld',
,,'pastures','Weeping Lovegrass',
