country,size_km2,default_zoom_scale,location,currency,currency_code,font_code2000,font_arial_unicode_ms,unicode_decimal,unicode_hex
Albania,28748,6,POINT (20.0498339611 41.1424498947),Lek,ALL,Lek,Lek,"76, 101, 107","4c, 65, 6b"
Afghanistan,647500,6,POINT (66.0047336558 33.8352307278),Afghani,AFN,؋,؋,1547,60b
Argentina,2780400,6,POINT (-65.179806925 -35.3813487953),Peso,ARS,$,$,36,24
Australia,7692024,6,POINT (134.491000082 -25.7328870417),Dollar,AUD,$,$,36,24
Azerbaijan,86600,6,POINT (47.5459987892 40.2882723471),Manat,AZN,₼,₼,8380,20bc
Bahamas,13940,6,POINT (-76.6284303802 24.2903670223),Dollar,BSD,$,$,36,24
Barbados,430,6,POINT (-59.5597970021 13.1814542822),Dollar,BBD,$,$,36,24
Belarus,207600,6,POINT (28.0320930703 53.5313137685),Ruble,BYN,Br,Br,"66, 114","42, 72"
Belize,22966,6,POINT (-88.7101048564 17.2002750902),Dollar,BZD,BZ$,BZ$,"66, 90, 36","42, 5a, 24"
Bermuda,,6,POINT (-64.7545588982 32.3136780208),Dollar,BMD,$,$,36,24
Bolivia,1098580,6,POINT (-64.6853864515 -16.7081478725),Bolíviano,BOB,$b,$b,"36, 98","24, 62"
Bosnia and Herzegovina,51129,6,POINT (17.7687673323 44.1745012472),Convertible Marka,BAM,KM,KM,"75, 77","4b, 4d"
Botswana,600370,6,POINT (23.7985336773 -22.1840321328),Pula,BWP,P,P,80,50
Bulgaria,110910,6,POINT (25.2155290863 42.7689031797),Lev,BGN,лв,лв,"1083, 1074","43b, 432"
Brazil,8515767,6,POINT (-53.0978311267 -10.7877770246),Real,BRL,R$,R$,"82, 36","52, 24"
Brunei Darussalam,5770,6,POINT (114.722030354 4.51968957503),Dollar,BND,$,$,36,24
Cambodia,181035,6,POINT (104.906943249 12.7200478567),Riel,KHR,៛,៛,6107,17db
Canada,9984670,6,POINT (-98.3077702819 61.3620632437),Dollar,CAD,$,$,36,24
Cayman Islands,,6,POINT (-80.9121332147 19.4289649722),Dollar,KYD,$,$,36,24
Chile,756950,6,POINT (-71.3825621318 -37.730709893),Peso,CLP,$,$,36,24
China,9572900,6,POINT (103.81907349 36.5617654559),Yuan Renminbi,CNY,¥,¥,165,a5
Colombia,1197411,6,POINT (-73.0811458241 3.91383430725),Peso,COP,$,$,36,24
Costa Rica,51100,6,POINT (-84.1920876775 9.9763446384),Colon,CRC,₡,₡,8353,20a1
Croatia,56542,6,POINT (16.404128994 45.0804763057),Kuna,HRK,kn,kn,"107, 110","6b, 6e"
Cuba,109886,6,POINT (-79.0160538445 21.6228952793),Peso,CUP,₱,₱,8369,20b1
