'model','commodity','section','title','code'
'crop',,'INC','Crop Sales','INC-HVT-CROP'
'crop',,'EXP','Preharvest','EXP-HVP-SEED'
'crop',,'EXP','Preharvest','EXP-HVP-FERT'
'crop',,'EXP','Preharvest','EXP-HVP-LIME'
'crop',,'EXP','Preharvest','EXP-HVP-HERB'
'crop',,'EXP','Preharvest','EXP-HVP-PEST'
'crop',,'EXP','Preharvest','EXP-HVP-SPYA'
'crop',,'EXP','Preharvest','EXP-HVP-INSH'
'crop',,'EXP','Preharvest','EXP-HVP-INSM'
'crop',,'EXP','Preharvest','EXP-HVP-HEDG'
'crop',,'EXP','Harvest','EXP-HVT-LABC'
'crop',,'EXP','Marketing','EXP-MRK-CRPF'
'crop',,'EXP','Marketing','EXP-MRK-CRPT'
'crop',,'EXP','Indirect Costs','EXP-IDR-FUEL'
'crop',,'EXP','Indirect Costs','EXP-IDR-REPP'
'crop',,'EXP','Indirect Costs','EXP-IDR-ELEC'
'crop',,'EXP','Indirect Costs','EXP-IDR-WATR'
'crop',,'EXP','Indirect Costs','EXP-IDR-LABP'
'crop',,'EXP','Indirect Costs','EXP-IDR-SCHED'
'crop',,'EXP','Indirect Costs','EXP-IDR-OTHER'
'horticulture',,'INC','Fruit Sales','INC-HVT-FRUT'
'horticulture',,'EXP','Preharvest','EXP-HVP-PLTM'
'horticulture',,'EXP','Preharvest','EXP-HVP-FERT'
'horticulture',,'EXP','Preharvest','EXP-HVP-LIME'
'horticulture',,'EXP','Preharvest','EXP-HVP-HERB'
'horticulture',,'EXP','Preharvest','EXP-HVP-PEST'
'horticulture',,'EXP','Preharvest','EXP-HVP-SPYA'
'horticulture',,'EXP','Preharvest','EXP-HVP-INSH'
'horticulture',,'EXP','Preharvest','EXP-HVP-INSM'
'horticulture',,'EXP','Harvest','EXP-HVT-LABC'
'horticulture',,'EXP','Harvest','EXP-HVT-STOR'
'horticulture',,'EXP','Harvest','EXP-HVT-PAKM'
'horticulture',,'EXP','Harvest','EXP-HVT-DYCL'
'horticulture',,'EXP','Harvest','EXP-HVT-PAKC'
'horticulture',,'EXP','Marketing','EXP-MRK-HOTF'
'horticulture',,'EXP','Marketing','EXP-MRK-HOTT'
'horticulture',,'EXP','Indirect Costs','EXP-IDR-FUEL'
'horticulture',,'EXP','Indirect Costs','EXP-IDR-REPP'
'horticulture',,'EXP','Indirect Costs','EXP-IDR-ELEC'
'horticulture',,'EXP','Indirect Costs','EXP-IDR-WATR'
'horticulture',,'EXP','Indirect Costs','EXP-IDR-LABP'
'horticulture',,'EXP','Indirect Costs','EXP-IDR-SCHED'
'horticulture',,'EXP','Indirect Costs','EXP-IDR-LICS'
'horticulture',,'EXP','Indirect Costs','EXP-IDR-INSA'
'horticulture',,'EXP','Indirect Costs','EXP-IDR-OTHER'
'livestock','Cattle','INC','Livestock Sales','INC-LSS-CCALV'
'livestock','Cattle','INC','Livestock Sales','INC-LSS-CWEN'
'livestock','Cattle','INC','Livestock Sales','INC-LSS-CCOW'
