'enterprise_type','current','proposed',' enterprise_model','land_cover','land_cover_2'
'Barley','Barley','Barley','crop','Cropland',
'Dry Bean','Bean (Dry)','Dry Bean','crop','Cropland',
'Green Bean','Bean (Green)','Green Bean','crop','Cropland',
'Canola','Canola','Canola','crop','Cropland',
'Cotton','Cotton','Cotton','crop','Cropland',
'Cowpea','Cowpea','Cowpea','crop','Cropland',
'Grain Sorghum','Grain Sorghum','Grain Sorghum','crop','Cropland',
'Groundnut','Groundnut','Groundnut','crop','Cropland',
'Lucerne','Lucerne','Lucerne','crop','Cropland',
'Lucerne',,'Lucerne (Feed)','crop','Cropland',
'Lupin','Lupin','Lupin','crop','Cropland',
'Maize','Maize (Fodder)','Maize (Fodder)','crop','Cropland',
'Maize','Maize (Green)','Maize (Silage)','crop','Cropland',
'Maize','Maize (Seed)','Maize (Seed)','crop','Cropland',
'Maize','Maize (White)','Maize','crop','Cropland',
'Maize','Maize (Yellow)','Maize (Irrigated)','crop','Cropland (Irrigated)',
'Oat','Oat','Oats','crop','Cropland',
'Oat','Oat','Oats (Feed)','crop','Cropland',
'Potato','Potato','Potato','crop','Cropland',
'Rye','Rye','Rye','crop',,
'Soya Bean','Soya Bean','Soya Bean','crop',,
,,'Soya Bean (Irrigated)','crop',,
'Sunflower','Sunflower','Sunflower','crop',,
'Sweet Corn','Sweet Corn','Sweet Corn','crop',,
'Tobacco','Tobacco','Tobacco','crop',,
'Triticale','Triticale','Triticale','crop',,
'Wheat','Wheat','Wheat','crop',,
'Wheat',,'Wheat (Irrigated)','crop','Cropland (Irrigated)',
'Teff',,'Teff','crop',,
'Teff',,'Teff (Feed)','crop',,
'Multispecies Pasture',,'Multispecies Pasture','crop',,
'Almond','Almond','Almond','permanentCrop','Orchard',
'Apple','Apple','Apple','permanentCrop','Orchard',
'Apricot','Apricot','Apricot','permanentCrop','Orchard',
'Avocado','Avocado','Avocado','permanentCrop','Orchard',
'Banana','Banana','Banana','permanentCrop','Plantation','Orchard'
'Blueberry','Blueberry','Blueberry','permanentCrop','Plantation','Orchard'
'Cherry','Cherry','Cherry','permanentCrop','Orchard',
'Chicory','Chicory','Chicory','permanentCrop','Vegetables','Cropland'
'Chili','Chili','Chili','permanentCrop','Vegetables','Cropland'
,'Citrus (Hardpeel)',,'permanentCrop',,
,'Citrus (Softpeel)',,'permanentCrop',,
'Coffee','Coffee','Coffee','permanentCrop','Plantation',
'Fig','Fig','Fig','permanentCrop','Orchard',
'Garlic','Garlic','Garlic','permanentCrop','Vegetables','Cropland'
'Grape','Grape (Table)','Grape (Table)','permanentCrop','Vineyard',
'Grape','Grape (Wine)','Grape (Wine)','permanentCrop','Vineyard',
'Grape',,'Grape (Bush Vine)','permanentCrop','Vineyard',
'Guava','Guava','Guava','permanentCrop','Orchard',
'Hops','Hops','Hops','permanentCrop','Plantation',
'Kiwi','Kiwi','Kiwi','permanentCrop','Orchard',
'Lemon','Lemon','Lemon','permanentCrop','Orchard',
'Lentil','Lentil','Lentil','permanentCrop','Vegetables','Cropland'
'Macadamia Nut','Macadamia Nut','Macadamia Nut','permanentCrop','Orchard',
'Mango','Mango','Mango','permanentCrop','Orchard',
'Melon','Melon','Melon','permanentCrop','Vegetables','Cropland'
