'category','subCategory'
'Airport','Hangar'
'Airport','Helipad'
'Airport','Runway'
'Poultry','Hatchery'
'Aquaculture','Pond'
'Aquaculture','Net House'
'Aviary',''
'Beekeeping',''
'Borehole',''
'Borehole','Equipped'
'Borehole','Pump'
'Borehole','Windmill'
'Poultry','Broiler House'
'Poultry','Broiler House - Atmosphere'
'Poultry','Broiler House - Semi'
'Poultry','Broiler House - Zinc'
'Building','Administrative'
'Building',''
'Building','Commercial'
'Building','Entrance'
'Building','Lean-to'
'Building','Outbuilding'
'Building','Gate'
'Cold Storage',''
'Commercial','Coffee Shop'
'Commercial','Sales Facility'
'Commercial','Shop'
'Commercial','Bar'
'Commercial','Café'
'Commercial','Restaurant'
'Commercial','Factory'
'Commercial','Tasting Facility'
'Commercial','Cloth House'
'Compost','Preparing Unit'
'Crocodile Dam',''
'Crop Processing','Degreening Room'
'Crop Processing','Dehusking Facility'
'Crop Processing','Drying Facility'
'Crop Processing','Drying Tunnels'
'Crop Processing','Sorting Facility'
'Crop Processing','Drying Oven'
'Crop Processing','Drying Racks'
'Crop Processing','Crushing Plant'
'Crop Processing','Nut Cracking Facility'
'Crop Processing','Nut Factory'
'Dairy',''
'Dairy','Pasteurising Facility'
'Dairy','Milking Parlour'
'Dam',''
'Dam','Filter'
'Dam','Trout'
'Domestic','Chicken Coop'
'Domestic','Chicken Run'
'Domestic','Kennels'
'Domestic','Gardening Facility'
'Education','Conference Room'
'Education','Classroom'
'Education','Crèche'
'Education','School'
'Education','Training Facility'
'Equipment','Air Conditioner'
'Equipment','Gantry'
'Equipment','Oven'
'Equipment','Pump'
'Equipment','Pumphouse'
'Equipment','Scale'
'Feed Mill',''
'Feedlot',''
'Fencing',''
'Fencing','Electric'
'Fencing','Game'
'Fencing','Perimeter'
'Fencing','Security'
'Fencing','Wire'
'Fuel','Tanks'
'Fuel','Tank Stand'
'Fuel','Fuelling Facility'
'Grain Mill',''
'Greenhouse',''
'Infrastructure',''
'Irrigation','Sprinklers'
'Irrigation',''
'Laboratory',''
'Livestock Handling','Auction Facility'
'Livestock Handling','Cages'
'Livestock Handling','Growing House'
'Livestock Handling','Pens'
'Livestock Handling','Shelter'
'Livestock Handling','Breeding Facility'
'Livestock Handling','Culling Shed'
'Livestock Handling','Dipping Facility'
'Livestock Handling','Elephant Enclosures'
'Livestock Handling','Feed Troughs/Dispensers'
'Livestock Handling','Horse Walker'
'Livestock Handling','Maternity Shelter/Pen'
'Livestock Handling','Quarantine Area'
'Livestock Handling','Rehab Facility'
'Livestock Handling','Shearing Facility'
'Livestock Handling','Stable'
'Livestock Handling','Surgery'
'Livestock Handling','Treatment Area'
'Livestock Handling','Weaner House'
'Livestock Handling','Grading Facility'
'Livestock Handling','Inspection Facility'
'Logistics','Handling Equipment'
'Logistics','Handling Facility'
'Logistics','Depot'
'Logistics','Loading Area'
'Logistics','Loading Shed'
'Logistics','Hopper'
'Logistics','Weigh Bridge'
'Meat Processing','Abattoir'
'Meat Processing','Deboning Room'
'Meat Processing','Skinning Facility'
'Mill',''
'Mushrooms','Cultivation'
'Mushrooms','Sweat Room'
'Nursery ','Plant'
'Nursery ','Plant Growing Facility'
'Office',''
'Packaging Facility',''
'Paddocks','Camp'
'Paddocks','Kraal'
'Paddocks',''
'Piggery','Farrowing House'
'Piggery','Pig Sty'
'Processing','Bottling Facility'
'Processing','Flavour Shed'
'Processing','Processing Facility'
'Recreation','Viewing Area'
'Recreation','BBQ'
'Recreation','Clubhouse'
'Recreation','Event Venue'
'Recreation','Gallery'
'Recreation','Game Room'
'Recreation','Gazebo'
'Recreation','Gymnasium'
'Recreation','Jacuzzi'
'Recreation','Judging Booth'
'Recreation','Museum'
'Recreation','Play Area'
'Recreation','Pool House'
'Recreation','Pottery Room'
'Recreation','Racing Track'
'Recreation','Salon'
'Recreation','Sauna'
'Recreation','Shooting Range'
'Recreation','Spa Facility'
'Recreation','Squash Court'
'Recreation','Swimming Pool'
'Recreation',''
'Religious','Church'
'Residential','Carport'
'Residential','Driveway'
'Residential','Flooring'
'Residential','Paving'
'Residential','Roofing'
'Residential','Water Feature'
'Residential','Hall'
'Residential','Balcony'
'Residential','Canopy'
'Residential','Concrete Surface'
'Residential','Courtyard'
'Residential','Covered'
'Residential','Deck'
'Residential','Mezzanine'
'Residential','Parking Area'
'Residential','Patio'
'Residential','Porch'
'Residential','Porte Cochere'
'Residential','Terrace'
'Residential','Veranda'
'Residential','Walkways'
'Residential','Rondavel'
'Residential','Accommodation Units'
'Residential','Boma'
'Residential','Bungalow'
'Residential','Bunker'
'Residential','Cabin'
'Residential','Chalet'
'Residential','Community Centre'
'Residential','Dormitory'
'Residential','Dwelling'
'Residential','Flat'
'Residential','Kitchen'
'Residential','Lapa'
'Residential','Laundry Facility'
'Residential','Locker Room'
'Residential','Lodge'
'Residential','Shower'
'Residential','Toilets'
'Residential','Room'
'Residential','Cottage'
'Residential','Garage'
'Roads','Access Roads'
'Roads','Gravel'
'Roads','Tarred'
'Security','Control Room'
'Security','Guardhouse'
